idno,GEN,AGE,EDU,JOBS,JOBS1,JOBS2,INCOME,region,pspwght,regions,FW1,FW3,FW7,FW9,FW10,FW11,FW2,FW12,FW13,FW4,FW5,FW6,FW8,FW14
11801,1,29,6,66,0,0,6,BE21,0.856629268,0,4,3,3,4,4,4,1,3,2,7,7,8,5,3
11804,2,50,4,10,0,1,8,BE21,0.859350418,0,2,2,3,4,2,3,2,2,4,8,8,6,8,3
11806,1,70,4,66,0,0,6,BE21,0.854966103,0,4,4,3,2,3,2,4,3,3,9,8,8,9,8
11807,2,77,6,66,0,0,4,BE21,0.853112833,0,5,4,4,4,3,4,4,5,5,9,9,9,8,8
11808,2,18,2,8,0,1,,BE21,1.293012647,0,2,4,4,2,4,4,3,4,4,8,7,9,9,8
11901,1,39,4,8,0,1,8,BE21,0.85715235,0,4,4,4,3,4,4,3,1,4,9,9,9,8,7
11902,2,58,4,7,0,1,5,BE21,0.857158564,0,4,4,4,4,4,4,4,4,4,4,8,8,9,8
11903,2,68,6,66,0,0,10,BE21,0.853112833,0,4,4,4,4,4,3,3,2,4,8,8,8,7,5
11904,1,16,2,66,0,0,,BE21,1.289705347,0,4,2,2,3,3,4,3,4,4,7,7,7,5,4
11905,1,36,6,7,0,1,9,BE21,0.853106648,0,4,4,4,4,4,4,4,4,3,7,8,8,6,7
11906,1,48,6,8,0,1,8,BE21,0.853106648,0,4,4,4,2,3,2,4,4,4,8,8,7,4,4
11908,1,65,5,66,0,0,6,BE21,0.850930719,0,5,4,4,4,4,4,4,4,4,8,8,8,7,8
11909,2,46,4,7,0,1,5,BE21,0.859350418,0,5,4,4,3,3,4,4,4,4,8,8,8,6,3
12001,1,20,4,8,0,1,10,BE21,0.860691675,0,4,4,4,4,4,4,4,4,3,8,8,7,9,5
12004,2,54,3,8,0,1,10,BE21,0.859350418,0,3,3,5,3,3,2,4,2,2,7,7,7,6,6
12006,2,69,1,66,0,0,3,BE21,1.284411148,0,5,4,5,4,4,5,2,5,4,9,9,9,8,5
12007,1,82,2,66,0,0,4,BE21,1.28112585,0,4,2,4,4,4,4,4,5,4,7,7,7,8,6
12009,2,49,6,9,0,1,8,BE21,0.855294341,0,4,3,3,4,3,2,4,3,3,7,8,7,6,5
12101,2,88,1,66,0,0,2,BE21,1.284411148,0,4,3,4,4,4,3,2,5,2,7,7,7,7,7
12105,2,54,7,8,0,1,8,BE21,0.855294341,0,4,4,4,4,3,3,5,3,3,8,8,7,7,7
12107,1,67,4,66,0,0,5,BE21,0.854966103,0,4,2,3,2,2,3,2,4,2,6,5,5,6,5
12109,1,47,5,9,0,1,10,BE21,0.85715235,0,4,4,4,4,4,4,2,4,4,8,8,8,8,7
12201,2,22,6,66,0,0,6,BE21,0.858825994,0,4,4,4,4,4,3,4,2,4,8,8,8,8,7
12202,1,30,5,9,0,1,8,BE21,0.860691675,0,4,4,4,4,4,4,2,4,4,9,8,8,9,8
12206,2,73,,66,0,0,3,BE21,0.997730063,0,4,5,4,4,4,5,4,5,4,8,8,7,9,7
12207,2,15,2,7,0,1,2,BE21,1.293012647,0,4,4,4,2,2,2,4,2,3,8,9,7,6,3
12208,2,45,3,8,0,1,9,BE21,0.859350418,0,4,4,4,4,4,4,4,4,4,8,8,8,7,5
12209,2,57,2,66,0,0,3,BE21,1.284411148,0,3,3,4,4,4,4,3,3,3,6,6,6,3,8
12302,2,55,1,8,0,1,3,BE21,1.284411148,0,4,4,4,3,4,4,3,3,4,8,8,8,7,6
12304,2,22,6,66,0,0,,BE21,0.858825994,0,4,4,4,4,4,4,4,4,4,8,8,8,8,6
12306,2,40,4,8,0,1,8,BE21,0.859350418,0,5,4,4,5,4,5,4,5,5,8,9,10,7,7
12307,2,43,3,7,0,1,9,BE21,0.859350418,0,5,4,2,2,4,2,4,3,2,7,7,7,4,3
12401,1,72,4,66,0,0,6,BE21,0.854966103,0,5,5,4,4,4,4,2,4,4,10,8,8,7,8
12402,2,78,1,66,0,0,1,BE21,1.284411148,0,5,4,4,4,4,4,5,4,4,8,8,8,7,7
12403,2,36,6,8,0,1,7,BE21,0.855294341,0,5,3,4,4,4,4,4,4,4,9,8,8,6,6
12404,1,48,6,10,0,1,5,BE21,0.853106648,0,5,5,5,5,5,4,4,5,4,8,8,8,8,7
12405,2,17,2,66,0,0,5,BE21,1.293012647,0,4,2,4,4,2,4,4,5,4,7,7,8,3,5
12409,1,26,6,66,0,0,5,BE21,0.856629268,0,5,4,4,5,5,4,2,3,4,9,8,8,9,7
12501,2,18,4,66,0,0,5,BE21,0.862898819,0,5,4,4,5,4,4,5,2,4,8,8,7,8,8
12505,2,61,5,66,0,0,6,BE21,0.857158564,0,4,4,4,4,2,4,4,3,4,8,8,8,5,5
12506,1,69,6,66,0,0,,BE21,0.850930719,0,4,3,3,2,4,4,4,5,4,10,10,10,0,9
12508,1,26,5,66,0,0,6,BE21,0.860691675,0,4,4,4,4,4,4,3,4,4,7,8,8,8,7
12509,1,49,4,9,0,1,7,BE21,0.85715235,0,4,4,4,4,4,4,5,4,5,8,8,9,8,8
12601,2,24,6,7,0,1,8,BE21,0.858825994,0,4,3,4,3,3,3,4,3,4,6,7,7,6,4
12602,2,53,6,8,0,1,8,BE21,0.855294341,0,4,4,4,4,4,4,4,4,4,8,8,7,8,8
12603,1,87,3,66,0,0,2,BE21,0.854966103,0,4,4,4,2,2,4,4,5,5,10,10,10,5,8
12604,1,21,5,9,0,1,10,BE21,0.860691675,0,5,5,5,4,5,5,5,5,3,10,10,10,3,9
12605,1,33,7,8,0,1,7,BE21,0.856629268,0,4,4,4,3,4,4,4,4,4,8,8,8,8,7
12609,2,63,4,66,0,0,2,BE21,0.857158564,0,4,4,4,4,4,5,4,4,4,7,7,8,6,4
12701,2,72,2,66,0,0,2,BE21,1.284411148,0,4,4,4,4,4,4,4,4,4,7,8,8,8,6
12702,1,78,4,66,0,0,,BE21,0.854966103,0,4,4,4,4,4,4,4,4,4,9,9,9,8,7
12703,2,48,6,8,0,1,7,BE21,0.855294341,0,4,4,4,3,4,4,4,4,3,7,7,7,5,6
12704,1,56,1,8,0,1,7,BE21,1.28112585,0,4,4,4,2,4,3,2,4,2,8,8,7,8,4
12707,1,45,4,8,0,1,8,BE21,0.85715235,0,4,4,4,4,4,4,4,5,4,8,8,8,7,8
12709,1,17,2,66,0,0,8,BE21,1.289705347,0,4,4,4,4,4,4,4,4,4,8,8,9,7,7
12801,1,34,6,10,0,1,7,BE21,0.856629268,0,4,4,4,4,3,5,4,5,4,9,9,9,8,8
12803,2,53,3,66,0,0,7,BE21,0.859350418,0,4,2,4,3,2,2,3,2,2,8,8,6,3,2
12805,1,21,4,9,0,1,5,BE21,0.860691675,0,5,4,4,4,2,4,3,4,4,7,9,7,6,8
12806,1,30,5,4,1,0,8,BE21,0.860691675,0,4,4,3,3,3,3,5,4,3,7,7,6,6,5
12807,1,42,7,66,0,0,5,BE21,0.853106648,0,4,4,4,2,4,4,2,2,4,9,9,7,7,8
12809,2,60,2,66,0,0,5,BE21,1.284411148,0,3,5,4,3,3,4,3,4,4,7,7,7,7,7
12902,1,72,7,66,0,0,4,BE21,0.850930719,0,4,4,4,3,3,2,4,2,1,7,7,5,10,6
12905,2,17,4,66,0,0,9,BE21,0.862898819,0,3,3,3,4,2,3,4,3,2,8,7,9,6,3
12906,1,67,6,66,0,0,6,BE21,0.850930719,0,5,3,4,4,4,4,3,2,4,8,8,8,6,7
13003,2,51,4,9,0,1,10,BE21,0.859350418,0,4,5,5,5,5,5,5,4,4,9,9,9,9,7
13004,1,63,7,8,0,1,6,BE21,0.850930719,0,3,4,4,3,2,3,4,5,4,8,8,8,6,8
13006,1,79,4,66,0,0,5,BE21,0.854966103,0,5,5,5,5,4,5,4,5,4,9,8,10,9,7
13007,1,17,2,66,0,0,,BE21,1.289705347,0,4,4,5,4,4,2,4,2,4,8,8,8,5,7
13101,1,25,7,9,0,1,10,BE21,0.856629268,0,4,3,4,4,4,4,2,4,4,8,8,9,7,7
13102,2,33,4,9,0,1,6,BE21,0.862898819,0,5,4,4,3,4,3,4,3,4,7,7,6,8,5
13108,2,17,2,8,0,1,6,BE21,1.293012647,0,5,3,4,4,3,4,5,2,5,8,8,6,7,7
13109,1,48,5,10,0,1,7,BE21,0.85715235,0,4,2,4,4,4,4,4,4,4,8,9,8,8,5
13203,2,45,4,0,1,0,5,BE21,0.859350418,0,3,3,4,1,3,2,4,2,3,8,9,10,5,5
13204,2,50,,66,0,0,5,BE21,1.000281374,0,4,3,4,5,4,3,5,3,4,9,9,9,8,7
13206,1,71,1,66,0,0,3,BE21,1.28112585,0,3,1,4,4,4,4,5,2,3,8,8,8,7,7
13207,2,15,2,66,0,0,7,BE21,1.293012647,0,4,4,4,4,3,4,4,3,4,9,8,8,7,6
13209,2,57,3,8,0,1,6,BE21,0.857158564,0,5,4,4,4,4,4,4,5,4,8,8,8,7,7
13303,2,41,7,8,0,1,10,BE21,0.855294341,0,5,4,4,4,4,3,4,3,3,8,9,8,8,5
13304,2,52,3,9,0,1,6,BE21,0.859350418,0,5,3,4,3,4,4,4,4,4,8,8,8,7,6
13305,2,58,1,66,0,0,2,BE21,1.284411148,0,5,5,4,5,5,5,2,4,4,8,8,8,8,6
13306,2,66,1,66,0,0,4,BE21,1.284411148,0,4,4,4,4,4,4,4,4,4,7,7,8,8,5
13307,1,78,4,66,0,0,3,BE21,0.854966103,0,4,2,2,4,2,4,3,5,4,8,6,8,5,7
13309,2,47,6,8,0,1,6,BE21,0.855294341,0,5,4,4,4,4,4,4,4,4,8,8,8,5,5
13403,2,43,6,8,0,1,8,BE21,0.855294341,0,2,4,4,4,4,4,4,4,4,9,9,9,8,6
13405,1,61,4,8,0,1,,BE21,0.854966103,0,4,4,5,2,3,4,4,4,3,9,9,7,7,5
13406,1,67,6,66,0,0,7,BE21,0.850930719,0,5,4,4,3,4,3,3,4,4,8,8,8,7,7
13407,1,76,7,66,0,0,7,BE21,0.850930719,0,4,4,4,4,4,3,4,5,3,9,8,8,8,7
13408,1,17,2,66,0,0,4,BE21,1.289705347,0,4,4,4,4,4,4,4,4,4,8,7,7,7,6
13409,1,49,6,8,0,1,8,BE21,0.853106648,0,4,4,4,4,4,3,4,4,5,8,8,8,7,7
13501,2,22,4,66,0,0,8,BE21,0.862898819,0,4,3,4,4,3,3,5,4,3,8,7,8,9,6
13503,2,38,3,66,0,0,5,BE21,0.859350418,0,4,4,5,3,4,3,2,4,3,7,7,7,7,5
13508,2,45,4,10,0,1,9,BE21,0.859350418,0,4,4,4,4,4,4,4,5,3,8,8,9,5,4
13509,2,57,6,9,0,1,9,BE21,0.853112833,0,5,5,5,4,5,4,5,5,5,9,9,8,9,8
13602,1,53,2,9,0,1,6,BE21,1.284401837,0,5,5,5,4,5,4,1,5,4,10,10,10,8,9
13605,1,21,6,9,0,1,7,BE21,0.856629268,0,5,4,4,4,4,4,5,2,3,9,9,9,9,5
13606,2,30,6,4,1,0,8,BE21,0.858825994,0,4,3,4,2,2,2,2,3,2,7,8,6,4,4
13607,1,34,5,8,0,1,4,BE21,0.860691675,0,5,4,5,4,4,4,4,3,3,9,7,9,9,8
13609,1,50,4,8,0,1,7,BE21,0.85715235,0,5,5,4,5,5,5,5,1,4,8,10,8,9,8
13702,1,72,2,66,0,0,7,BE21,1.28112585,0,4,4,4,4,4,5,4,4,4,7,7,8,8,7
13706,1,67,7,66,0,0,7,BE21,0.850930719,0,5,4,4,4,5,5,4,4,4,10,9,9,9,7
13707,1,38,7,8,0,1,8,BE21,0.853106648,0,3,4,4,4,3,4,4,4,4,9,9,7,9,7
13709,1,56,6,9,0,1,10,BE21,0.850930719,0,5,4,4,5,3,4,4,5,5,9,9,9,8,9
13802,1,17,2,66,0,0,7,BE21,1.289705347,0,4,4,4,4,4,4,4,3,4,8,9,9,8,6
13803,2,26,6,9,0,1,10,BE21,0.858825994,0,4,5,5,5,4,4,5,2,4,9,9,10,9,3
13805,2,50,3,9,0,1,9,BE21,0.859350418,0,2,4,4,2,2,2,4,3,4,7,7,8,6,5
13806,2,56,3,66,0,0,7,BE21,0.857158564,0,4,4,4,3,4,4,4,4,4,8,8,8,5,5
13807,1,72,2,66,0,0,4,BE21,1.28112585,0,5,4,4,4,4,4,4,5,5,10,10,9,5,7
13809,2,67,2,66,0,0,3,BE21,1.284411148,0,4,4,4,3,3,2,4,2,2,7,7,5,5,6
13901,2,21,4,9,0,1,10,BE21,0.862898819,0,3,4,3,4,4,4,4,4,3,8,8,8,7,7
13902,2,30,5,8,0,1,8,BE21,0.862898819,0,4,4,4,3,3,4,3,3,4,7,7,7,7,6
13904,1,34,6,9,0,1,8,BE21,0.856629268,0,4,4,4,4,4,4,3,5,4,9,8,8,8,7
13906,1,63,1,66,0,0,9,BE21,1.28112585,0,5,5,5,4,4,4,2,5,2,9,9,9,7,6
13907,1,78,1,66,0,0,3,BE21,1.28112585,0,4,2,4,4,4,4,2,4,1,8,8,8,5,4
13908,2,38,2,10,0,1,4,BE21,1.287695537,0,3,4,3,3,3,5,5,4,5,6,6,8,5,0
13909,1,53,1,7,0,1,5,BE21,1.284401837,0,3,4,4,4,5,4,1,2,2,9,10,9,7,8
14004,2,53,4,8,0,1,6,BE21,0.859350418,0,5,2,4,3,2,2,1,2,1,8,8,8,6,0
14006,2,63,4,8,0,1,3,BE21,0.857158564,0,4,3,3,3,4,4,4,4,4,7,7,7,5,5
14102,2,79,6,66,0,0,4,BE21,0.853112833,0,4,3,4,2,4,3,2,3,3,7,7,7,7,7
14103,1,20,4,66,0,0,6,BE21,0.860691675,0,4,4,4,4,4,4,4,4,4,8,7,6,8,7
14104,2,30,6,8,0,1,4,BE21,0.858825994,0,4,3,2,4,3,3,4,2,4,8,8,7,7,7
14106,2,50,4,66,0,0,3,BE21,0.859350418,0,5,5,5,4,5,3,4,4,3,8,9,7,9,5
14201,1,73,4,66,0,0,5,BE21,0.854966103,0,5,3,3,3,3,3,3,4,2,7,7,7,8,2
14204,1,48,6,4,1,0,7,BE21,0.853106648,0,5,3,5,5,3,4,1,4,3,5,5,6,6,6
14207,2,65,1,66,0,0,3,BE21,1.284411148,0,4,4,3,4,3,3,4,2,2,8,8,6,4,4
14208,1,36,1,5,1,0,4,BE21,1.284401837,0,4,2,4,3,4,4,4,4,2,2,2,4,6,5
14209,2,47,6,8,0,1,4,BE21,0.855294341,0,4,4,4,4,4,4,4,5,4,8,8,8,8,7
14302,1,18,2,66,0,0,,BE21,1.289705347,0,4,3,4,4,5,4,4,4,4,9,9,8,8,8
14304,2,35,6,8,0,1,4,BE21,0.855294341,0,5,4,4,4,5,4,4,4,4,9,9,9,7,6
14305,2,45,2,8,0,1,8,BE21,1.287695537,0,5,4,4,4,4,4,4,4,4,10,10,8,8,8
14306,2,16,1,66,0,0,,BE21,1.293012647,0,4,4,4,4,4,4,4,4,4,9,8,8,8,8
14308,2,70,6,66,0,0,4,BE21,0.853112833,0,4,4,4,2,2,2,4,4,4,10,10,8,7,7
14402,1,33,7,9,0,1,10,BE21,0.856629268,0,3,4,4,4,4,4,4,3,2,9,9,8,8,5
14404,1,52,2,66,0,0,4,BE21,1.284401837,0,5,4,4,3,4,4,4,5,4,8,8,7,7,3
14406,1,66,1,66,0,0,5,BE21,1.28112585,0,5,4,4,5,3,5,4,5,4,6,7,8,4,4
14407,1,75,1,66,0,0,5,BE21,1.28112585,0,4,4,3,3,4,4,4,4,2,5,5,5,5,5
14408,2,15,2,66,0,0,6,BE21,1.293012647,0,5,4,4,4,5,4,4,3,3,10,10,10,8,7
14502,2,29,2,10,0,1,2,BE21,1.293012647,0,5,4,5,5,4,4,2,5,4,7,8,8,7,5
14503,2,44,3,66,0,0,5,BE21,0.859350418,0,5,4,4,2,3,4,4,5,4,7,8,8,7,5
14504,1,50,4,66,0,0,10,BE21,0.85715235,0,4,4,4,2,4,2,4,4,4,8,8,9,8,8
14508,1,37,6,8,0,1,8,BE21,0.853106648,0,5,4,4,4,4,4,4,5,4,9,9,9,7,8
14509,1,56,4,9,0,1,5,BE21,0.854966103,0,5,5,4,5,4,1,2,5,3,8,8,7,6,5
14601,2,23,6,9,0,1,8,BE21,0.858825994,0,4,4,4,3,4,3,5,4,4,8,8,9,8,6
